phyto,wl,var1,var2,cor,statistic,p,method
synechococcus,660,cp,chl_line_height,0.78,812.0000000000003,3.16e-6,Spearman
synechococcus,470,cp,chl_cell,-0.76,5776,7.24e-6,Spearman
synechococcus,532,cp,chl_cell,-0.75,5744,1.06e-5,Spearman
synechococcus,660,cp,chl_cell,-0.74,5696,1.87e-5,Spearman
synechococcus,470,cp,pe_chla,-0.49,5450,0.0086,Spearman
synechococcus,532,cp,pe_chla,-0.51,5522,0.00603,Spearman
synechococcus,660,cp,pe_chla,-0.49,5456.000000000001,0.00835,Spearman
synechococcus,470,cp,pub_peb,0.65,1280.0000000000002,2.55e-4,Spearman
synechococcus,532,cp,pub_peb,0.67,1208.0000000000002,1.43e-4,Spearman
synechococcus,660,cp,pub_peb,0.68,1176.0000000000002,1.09e-4,Spearman
synechococcus,470,cp,Fv_Fm,0.12,2568,0.551,Spearman
synechococcus,532,cp,Fv_Fm,0.14,2522,0.5,Spearman
synechococcus,660,cp,Fv_Fm,0.13,2550,0.531,Spearman
synechococcus,470,cp,red,0.18,2671.9077932976847,0.357,Spearman
synechococcus,532,cp,red,0.2,2631.9016868935573,0.326,Spearman
synechococcus,660,cp,red,0.22,2559.8906953661294,0.273,Spearman
synechococcus,470,bbp,ap,0.73,990,1.87e-5,Spearman
synechococcus,532,bbp,ap,0.3,2544,0.116,Spearman
synechococcus,660,bbp,ap,0.91,318,5.48e-7,Spearman
synechococcus,470,bbp,cp,0.7,1086.0000000000002,4.85e-5,Spearman
synechococcus,532,bbp,cp,0.75,928.0000000000003,9.79e-6,Spearman
synechococcus,660,bbp,cp,0.74,966,1.46e-5,Spearman
synechococcus,470,bbp,bbp,1,0,0,Spearman
synechococcus,532,bbp,bbp,1,0,0,Spearman
synechococcus,660,bbp,bbp,1,0,0,Spearman
synechococcus,470,bbp,bb_b,0.011,3612,0.954,Spearman
synechococcus,532,bbp,bb_b,-0.15,4204,0.443,Spearman
synechococcus,660,bbp,bb_b,0.072,3392,0.716,Spearman
synechococcus,470,bbp,cells,0.62,1234.0000000000002,6.71e-4,Spearman
synechococcus,532,bbp,cells,0.75,830.0000000000003,1.37e-5,Spearman
synechococcus,660,bbp,cells,0.82,578.0000000000001,1.77e-6,Spearman
synechococcus,470,bbp,fsc,0.16,2745.919090145319,0.42,Spearman
synechococcus,532,bbp,fsc,0.051,3107.974353102667,0.799,Spearman
synechococcus,660,bbp,fsc,-0.0098,3308.004885123301,0.961,Spearman
synechococcus,470,bbp,ssc,0.36,2097.820166398464,0.0654,Spearman
synechococcus,532,bbp,ssc,0.55,1473.7249064940845,0.00295,Spearman
synechococcus,660,bbp,ssc,0.63,1209.6846042268473,4.2e-4,Spearman
synechococcus,470,bbp,poc_optics,0.66,192.00000000000009,0.00953,Spearman
synechococcus,532,bbp,poc_optics,0.79,120.00000000000007,8.21e-4,Spearman
synechococcus,660,bbp,poc_optics,0.66,188,0.00858,Spearman
synechococcus,470,bbp,poc_cell,-0.41,642.0000000000001,0.146,Spearman
synechococcus,532,bbp,poc_cell,-0.69,770,0.00785,Spearman
synechococcus,660,bbp,poc_cell,-0.82,826.0000000000001,6.24e-4,Spearman
synechococcus,470,bbp,cn,0.28,404.00000000000006,0.314,Spearman
synechococcus,532,bbp,cn,0.13,488,0.648,Spearman
synechococcus,660,bbp,cn,0.011,554,0.974,Spearman
synechococcus,470,bbp,c_chl,0.15,476.00000000000006,0.593,Spearman
synechococcus,532,bbp,c_chl,0.086,512,0.763,Spearman
synechococcus,660,bbp,c_chl,-0.014,568,0.964,Spearman
synechococcus,470,bbp,chl_line_height,0.73,994.0000000000003,1.95e-5,Spearman
synechococcus,532,bbp,chl_line_height,0.83,609.9999999999999,1.41e-6,Spearman
synechococcus,660,bbp,chl_line_height,0.89,398.00000000000006,8.16e-7,Spearman
synechococcus,470,bbp,chl_cell,-0.47,4820.000000000001,0.0139,Spearman
synechococcus,532,bbp,chl_cell,-0.6,5252,0.00109,Spearman
synechococcus,660,bbp,chl_cell,-0.65,5415.999999999999,3.07e-4,Spearman
synechococcus,470,bbp,pe_chla,-0.17,4264,0.394,Spearman
synechococcus,532,bbp,pe_chla,-0.15,4188,0.456,Spearman
synechococcus,660,bbp,pe_chla,-0.2,4396,0.299,Spearman
synechococcus,470,bbp,pub_peb,0.25,2740,0.198,Spearman
synechococcus,532,bbp,pub_peb,0.15,3120,0.456,Spearman
synechococcus,660,bbp,pub_peb,0.11,3238,0.563,Spearman
synechococcus,470,bbp,Fv_Fm,-0.057,3092,0.781,Spearman
synechococcus,532,bbp,Fv_Fm,0.17,2416,0.394,Spearman
synechococcus,660,bbp,Fv_Fm,0.23,2264,0.266,Spearman
synechococcus,470,bbp,red,0.23,2511.883367681177,0.242,Spearman
synechococcus,532,bbp,red,0.26,2423.869933592098,0.19,Spearman
synechococcus,660,bbp,red,0.19,2639.902908174383,0.332,Spearman
synechococcus,470,bb_b,ap,-0.27,4632,0.168,Spearman
synechococcus,532,bb_b,ap,0.76,892.0000000000005,6.73e-6,Spearman
synechococcus,660,bb_b,ap,0.057,3446,0.773,Spearman
synechococcus,470,bb_b,cp,-0.66,6068,1.86e-4,Spearman
synechococcus,532,bb_b,cp,-0.74,6370,1.09e-5,Spearman
synechococcus,660,bb_b,cp,-0.56,5712,0.00214,Spearman
synechococcus,470,bb_b,bbp,0.011,3612,0.954,Spearman
synechococcus,532,bb_b,bbp,-0.15,4204,0.443,Spearman
