----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  528,   231785.8,    187.765,      95.628,
  529,   231825.8,    187.776,      96.502,
  530,   231865.8,    187.814,      96.679,
  531,   231905.8,    187.713,      94.608,
  532,   231945.8,    187.665,      93.686,
  533,   231985.8,    187.740,      95.419,
  534,   232025.8,    187.776,      95.373,
  535,   232065.8,    187.726,      96.447,
  536,   232105.8,    187.751,      95.735,
  537,   232145.8,    187.714,      96.966,
  538,   232185.8,    187.765,      95.526,
  539,   232225.8,    187.764,      96.520,
  540,   232265.8,    187.802,      96.347,
  541,   232305.8,    187.727,      96.396,
  542,   232345.8,    187.702,      94.982,
  543,   232385.8,    187.704,      95.839,
  544,   232425.8,    187.754,      96.527,
  545,   232465.8,    187.804,      96.391,
  546,   232505.8,    187.856,      97.110,
  547,   232545.8,    187.819,      95.866,
  548,   232585.8,    187.729,      94.782,
  549,   232625.8,    187.742,      96.924,
  550,   232665.8,    187.744,      96.241,
  551,   232705.8,    187.757,      97.334,
  552,   232745.8,    187.784,      96.804,
  553,   232785.8,    187.746,      95.720,
  554,   232825.8,    187.748,      95.216,
  555,   232865.8,    187.776,      95.537,
  556,   232905.8,    187.714,      97.135,
  557,   232945.8,    187.713,      96.761,
  558,   232985.8,    187.802,      98.468,
  559,   233025.8,    187.830,      97.232,
  560,   233065.8,    187.768,      97.108,
  561,   233105.8,    187.756,      96.914,
  562,   233145.8,    187.756,      96.049,
  563,   233185.8,    187.781,      96.548,
  564,   233225.8,    187.780,      97.631,
  565,   233265.8,    187.755,      98.889,
  566,   233305.8,    187.792,      97.305,
  567,   233345.8,    187.833,      97.659,
  568,   233385.8,    187.846,      96.072,
  569,   233425.8,    187.732,      96.914,
  570,   233465.8,    187.720,      96.201,
  571,   233505.8,    187.732,      98.475,
  572,   233545.8,    187.732,      96.905,
  573,   233585.8,    187.809,      97.090,
  574,   233625.8,    187.849,      97.664,
  575,   233665.8,    187.810,      98.513,
  576,   233705.8,    187.808,      96.693,
  577,   233745.8,    187.705,      97.351,
  578,   233785.8,    187.704,      98.051,
  579,   233825.8,    187.818,      97.233,
